instrument,call_year,research_institution,n_granted,amount_granted
SNSF Consolidator Grants,2022,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),0,0
SNSF Swiss Postdoctoral Fellowships,2022,Research Institute of Organic Agriculture,0,0
SNSF Advanced Grants,2022,Graduate Institute of International and Development Studies,1,1756868
SNSF Advanced Grants,2024,University of Lucerne,0,0
SNSF Advanced Grants,2024,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Eastern Switzerland University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2023,Institute of Oncology Research,0,0
SNSF Consolidator Grants,2022,Berne University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Hochschulinstitut Schaffhausen,0,0
SNSF Advanced Grants,2021,Paul Scherrer Institute,0,0
SNSF Consolidator Grants,2022,AO Research Institute,0,0
SNSF Consolidator Grants,2023,Swiss Institute of Bioinformatics,0,0
SNSF Starting Grants,2024,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),0,0
SNSF Swiss Postdoctoral Fellowships,2021,Facoltà di Teologia di Lugano,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Institute of Oncology Research,0,0
SNSF Swiss Postdoctoral Fellowships,2024,University of Lucerne,0,0
SNSF Swiss Postdoctoral Fellowships,2024,"Non-profit organisations (libraries, museums, foundations) and administration",0,0
SNSF Starting Grants,2023,Lucerne University of Applied Sciences and Arts,0,0
SNSF Advanced Grants,2024,Idiap Research Institute,0,0
SNSF Consolidator Grants,2023,Swiss Distance University Institute,0,0
SNSF Advanced Grants,2022,Companies/  Private Industry,0,0
SNSF Advanced Grants,2022,Paul Scherrer Institute,0,0
SNSF Starting Grants,2022,University of Lucerne,1,1408042
